id,review_text,cleaned_text
26,"This Is Not GABA оставляет ощущение загадочности и тонкой утончённости. Аромат необычный, с интересным сочетанием свежих и тёплых нот, будто раскрывается постепенно, каждый раз показывая что-то новое. Он лёгкий, но в то же время притягательный, создаёт атмосферу уверенности и индивидуальности. Отлично подойдёт тем, кто любит необычные и запоминающиеся ароматы.",this is not gaba оставляет ощущение загадочности тонкой утончённости аромат необычный интересным сочетанием свежих тёплых нот раскрывается постепенно раз показывая новое лёгкий время притягательный создаёт атмосферу уверенности индивидуальности отлично подойдёт любит необычные запоминающиеся ароматы
27,"Это просто🔥не зря сейчас это хит,не ожидала,что так понравится этот аромат,он не похож ни на что,действительно как дорогой глянцевый журнал,фруктовая нота звучит очень необычно и притягательно,однозначно повторю снова и снова",🔥 хит ожидала понравится аромат похож ни дорогой глянцевый журнал фруктовая нота звучит необычно притягательно однозначно повторю
28,"Изумительные, красивущие, стойкие духи! Парфюм просто бомба! Не могу описывать, но для меня это - шедевр! Я хочу его во флаконе и на долго! Спасибо!",изумительные красивущие стойкие духи парфюм бомба описывать шедевр флаконе спасибо
29,"Стал один из самых любимых ароматов, в офис идеально! Спасибо рандеву, буду заказывать еще. Аромат очень шлейфовый, сотни комплиментов.",любимых ароматов офис идеально спасибо рандеву заказывать аромат шлейфовый сотни комплиментов
30,"Покупала своему мужчине и не прогадала! Отличный, оооочень вкусный аромат.. Напоминает горячий пирог с карамельными яблоками, просто вау!",покупала мужчине прогадала отличный оооочень вкусный аромат напоминает горячий пирог карамельными яблоками вау
31,"Kilian Angel's Share - интересный и, конечно, очень хайповый аромат - и в данном случае хайп оправдан. Восточный гурманский с цветочно-древесным оттенком, вкусный, яркий, богатый, но для меня - достаточно неоднозначный. Старт лёгкий и воздушный, с яркой цветочностью гедиона, к которой тут же добавляются коньяк и корица. Довольно быстро аромат теплеет и густеет: появляется древесность (дуб, сандал), усиливаются бобы тонка и ваниль. И вся композиция превращается в яблочную шарлотку с корицей, в которую щедро плеснули коньяка - ванильно-древесную, сладкую, с лёгким алкогольно-цветочным ореолом. В базе остаётся чистая гурманика: ваниль, пралине, мягкое дерево. Стойкость отличная - до 12 часов на моей коже. Шлейф заметный - от вытянутой руки до 2 метров. При всей изящности композиции для меня аромат смещён в женскую сторону: яркая цветочность и мягкая сладость делают его скорее про уют и чувственность, чем про характер и мужественность. В него хочется завернуться как в мягкий теплый плед - это аромат легкости, уюта и расслабления. И в этом для меня вся неоднозначность: как произведение искусства и как аромат настроения это прекрасно - как аромат на выход - только в исключительных случаях, в прохладный зимний или осенний вечер, на свидание, и под особое настроение. Моя оценка - 9 из 10.",kilian angel s share интересный хайповый аромат случае хайп оправдан восточный гурманский цветочно древесным оттенком вкусный яркий богатый достаточно неоднозначный старт лёгкий воздушный яркой цветочностью гедиона добавляются коньяк корица быстро аромат теплеет густеет появляется древесность дуб сандал усиливаются бобы тонка ваниль композиция превращается яблочную шарлотку корицей щедро плеснули коньяка ванильно древесную сладкую лёгким алкогольно цветочным ореолом базе остаётся чистая гурманика ваниль пралине мягкое дерево стойкость отличная 12 часов коже шлейф заметный вытянутой руки 2 метров изящности композиции аромат смещён женскую сторону яркая цветочность мягкая сладость делают уют чувственность характер мужественность хочется завернуться мягкий теплый плед аромат легкости уюта расслабления неоднозначность произведение искусства аромат настроения прекрасно аромат выход исключительных случаях прохладный зимний осенний вечер свидание особое настроение оценка 9 10
32,"Любименький мой. Офлаконила конечно же. Осенью и зимой без него теперь просто не могу. Теплый, уютный аромат. Виски, яблочный пирог",любименький офлаконила осенью зимой теплый уютный аромат виски яблочный пирог
33,"Очень яркий, восточный, комплиментарный! Взяла пробник, очень понравился аромат. Думаю о покупке большего объема",яркий восточный комплиментарный взяла пробник понравился аромат думаю покупке большего объема
34,"Ну что тут говорить....это роскошь! Любовь любовная. Два раза покупала отливанты, думала наиграюсь, но нет. Офлаконила. Это роскошь, уют и комфорт во флаконе! Виски и яблочный пирог.",говорить роскошь любовь любовная два раза покупала отливанты думала наиграюсь офлаконила роскошь уют комфорт флаконе виски яблочный пирог
35,"Обожаю этот аромат, готов обливаться им всегда, лично мне чувствуются яблоко и корица с небольшой коньячной нотой, что прям идеально для вечерних выходов или повседневной носке, но на осень или раннюю весну. Приятный, в меру сладкий, я бы сказал, что он идеальный.",обожаю аромат готов обливаться лично чувствуются яблоко корица небольшой коньячной нотой идеально вечерних выходов повседневной носке осень раннюю весну приятный меру сладкий сказал идеальный
36,"Много слышал про него и все оказалось не зря. Очень вкусный парфюм. Теплый обволакивающий мед с корицей. Не парфюм, а уютный вечер под пледом возле камина",слышал оказалось вкусный парфюм теплый обволакивающий мед корицей парфюм уютный вечер пледом возле камина
37,"Любимый аромат для особого настроения. Аналогов ему много среди арабского парфюма, но не один не даёт такую лёгкость и переливчивость нот. искристый, пряный, алгогольный. Для меня замены ему нет.",любимый аромат особого настроения аналогов арабского парфюма даёт лёгкость переливчивость нот искристый пряный алгогольный замены
38,"Стойкость запредельно, насыщенный яркий аромат. Очень красивый , в зиму прям бомба. Шлейфовый, очень понравился.",стойкость запредельно насыщенный яркий аромат красивый зиму бомба шлейфовый понравился
39,"Запах невероятно притягательный! Тяжелый,но одновременно женственный аромат ! Неоднократно буду приобретать данный парфюм!",запах невероятно притягательный тяжелый одновременно женственный аромат неоднократно приобретать парфюм
40,"Очень сладкий аромат, . Потрясающая стойкость, на моей холодной коже часов 10. Шлейфит очень хорошо.",сладкий аромат потрясающая стойкость холодной коже часов 10 шлейфит
41,"Очень милый запах, казалось по нотам, что тут только зефирки, но нет, аромат интересный, очень подойдет в зимнее время",милый запах нотам зефирки аромат интересный подойдет зимнее время
